shortcut			快捷键
navigate			导航
analyze				分析
refactor			重构
finalize			完成 
instantiate			实例化
shorthand			速写
specification		标准规格
algorithmic			算法
bisection			二分平分
declarative			声明
imperative			命令
sequence			顺序
indentation			缩进
comments			注解
conversion			转化
manual				手册
fractional			小数点
remainder			剩余	
backslashes			反斜杠
indices				索引
omit				漏掉删除
immutable			不可改变的
comma				逗号
bracket				括号
concatenation		串联联合
feature				特征
execute				执行
indicate			指示
arithmetic			算术
progression			发展循环
halt				停止
duplicate			复制重复
handy				好用
comprehension		理解内涵
tutorail			辅导
matrix				矩阵
equivalent			等同
arbitrary			绝对的
corresponding		对应物
retrieve			取出取回
reverse				反转
tempt				引诱
moreover			而且
parentheses			圆括号
priority			优先级
outcome				结果
customary			惯例
underscore			下划线
architectures		结构
dot					小圆点
designate			被指定为
maintain			维持
variation			差异
ideally				理想的
encounter			遭遇碰到
assume				假设
offend				出错
detect				察觉发现
precede				先于
mechanism			机制
ivocation			调用
recursive			递归
determine			明确的
dictate				被支配
inheritance			继承
constructe			建造
compact				健壮稳固
alter				改变
eliminate			消除去除
reinforced			增强
refrence			指针
compress			压缩
margin				空白留白
padding				填料填充
craftsmanship		技巧
principle			准则
heuristics			启发
heuristics			排除

